,기업,기사발행일,기사제목,뉴스기사본문전처리
27,이엠네트웍스,2020.11.02. 오전 7:37,[e공시 눈에 띄네]코스닥-30일,장 마감 후 주요공시국영지앤엠한화건설과 억원 규모 인천여성병원 복합 중 유리공사 계약 체결우진비앤지강석진강재구 각자 대표이사에서 강석진 단독 대표이사로 변경피씨엘만원 규모 의료기기 공급계약에스모 머티리얼즈기업 이미지 제고 위해 이엠네트웍스로 상호변경박지환 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
28,이엠네트웍스,2020.12.31. 오전 7:16,[e 공시 눈에 띄네]코스닥-30일,장 마감 후 주요공시 티사이언티픽억원 규모로 메디프론디비티 주식 취득 결정. 취득후 지분 비율은 .. 피씨엘 만원 규모의 의료기기 공급계약을 체결했다고 공시. 이엠네트웍스홍찬석 대표이사 체제로 변경한다고 공시 본점 소재지도 전라북도 익산에서 서울특별시 강남구로 변경. 파크시스템스 삼성전자와 억원 규모의 반도체 웨이퍼의 전기전도성 원자현미경 공급계약을 체결했다고 공시.신신제약거래소는 신신제약에 대해 공시번복을 이유로 불성실공시법인 지정을 예고했다.이민지 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기  소비자대상 설문 참여하면 경품 추첨경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
29,코너스톤네트웍스,2021.01.26. 오후 4:59,"코너스톤네트웍스, 수원지법에 회생절차 개시 신청", 코너스톤네트웍스는 수원지방법원에 회생절차 개시를 신청했다고 일 공시했다.회사 측은 경영 정상화와 계속 기업으로서의 가치 보존을 위해 신청했다며 향후 수원지방법원에서 심사를 통해 회생절차 개시 여부의 결정이 있을 것이라고 설명했다.권효중  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
31,코너스톤네트웍스,2020.08.21. 오후 2:00,"코너스톤네트웍스, 제3자배정 유상증자 결정 철회", 코너스톤네트웍스는 제자배정 유상증자 결정을 철회한다고 일 공시했다. 발행예정주식수는 만 주로 발행예정금액은 억 만 원이다. 납입대상자는 파라다이스포인트는 내부 투자판단 결정에 따라 이날 최종 납입 불가 통보를 했다.양희동  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
48,코너스톤네트웍스,2021.01.27. 오전 7:30,[e공시 눈에 띄네]코스닥-26일,지와이커머스 지와이커머스 삼원트레이드를 흡수합병비츠로시스 증권거래소 기업심사위원회서 상장폐지 심의포스링크  주권매매거래정지 기간변경메디앙스 주권매매거래정지 기간변경코너스톤네트웍스  주권매매거래정지 기간변경성창오토텍  현저한 시황변동에 대한 조회공시 요구옵티시스  실적 발표 작년 매출액 억만원 영업이익 억만원 순이익 억만원지연진 기자 .. 년 신축년 신년운세와 토정비결은 발 빠른 최신 뉴스 네이버 메인에서 바로 보기 년부터 이렇게 달라진다 필수 체크경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
54,코너스톤네트웍스,2020.09.18. 오전 6:39,[e공시 눈에 띄네]코스닥-17일, 장 마감 후 주요 공시 나무가억 규모 사모  발행 결정매직마이크로거래소 채권자 파산신청설 관련 조회공시 요구웰크론한텍와이앤씨홀딩스에 억 규모 채무보증 결정코너스톤네트웍스거래소 불성실공시법인 지정헬릭스미스억원 규모 유상증자 결정광림비비안 지분 추가취득지분율 디티앤씨억 규모  발행 결정이엔에프테크놀로지억 규모 채무보증 결정엘아이에스억 규모  발행 결정구은모 기자 .. 년 하반기 재물운연애운건강운 체크 네이버에서 아시아경제 뉴스를 받아보세요 요즘 트렌드 모아보고 싶을 땐 드링킷경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
56,코너스톤네트웍스,2020.09.15. 오전 9:27,"코로나19에 불성실공시 코스닥 급증…""제도 개선"" 국민 청원 등장",신종 코로나바이러스 감염증 확산으로 주식시장에서 불성실공시법인으로 지정 예고된 기업이 급증하고 있다. 이 가운데 코스닥 벌점 제도를 개선해야 한다는 국민 청원이 등장해 관심이 모인다.일 한국거래소에 따르면 이달 들어 현재까지 코스피 코스닥시장을 통틀어 총 개 기업에서 불성실공시법인 지정 사유가 발생했다. 지난 월 한 달간 불성실공시법인 지정 기업의 수가 곳이었던 것과 비교할 때 상대적으로 증가세가 가속화되고 있다.특히 코로나의 영향으로 유상증자 등 자금 조달에 실패하거나 납입 일정을 연기하면서 벌점을 받는 경우가 빈번하게 나타났다. 유상증자 납입기일을 개월 이상 변경하거나 유상증자 결정 철회 유상증자 발행주식발행금액을  이상 변경한 경우 자본시장과 금융투자업에 관한 법률에 의거 공시번복과 공시변경에 해당해 불성실공시법인 지정으로 연결된다.실제 코스닥 상장사 이에스에이는 유상증자 결정 철회 건과 전환사채 발행 결정 철회 등으로 벌점을 받아 불성실공시법인으로 지정됐다. 팍스넷 코너스톤네트웍스 티웨이항공 제이웨이 등도 유상증자를 철회해 벌점을 받았다. 기업마다 처해진 상황은 다르지만 코로나로 대외 영업환경이 악화되면서 기업들이 자금 조달에 어려움을 겪고 있는 것으로 풀이된다.이 가운데 전날 올라온 공시법인 벌점제도 개선을 촉구합니다 국민청원에서는 상장 기업 중 규모가 작거나 자금 조달에 어려움을 겪는 코스닥 기업들에게 한시적으로 규제를 완화해야 한다는 주장이 담겼다. 영업상황이 어려워 자금 조달을 꾀하지만 이마저도 실패하면서 좋지 않은 기업으로 낙인찍히고 있다는 설명이다.청원인은 코스닥 기업들이 유상증자에 실패하거나 납입 일정을 연기하면서 거래소로부터 벌점을 받고 있다면서 이에 코로나 기간 동안 만이라도 한시적으로 공시법인 벌점 제도 개선을 촉구한다고 말했다.그는 국가의 힘은 국민에서 나오지만 좋은 기업들이 기본을 탄탄하게 다지고 우뚝 설 때 더욱 힘을 받을 수 있다고 생각한다면서 코로나로 어려운 이때 정부에서도 기업들을 위해 한시적으로나마 공시법인 벌점 제도를 개선해 주셨으면 한다고 호소했다. 팬데믹위기 해법 찾는다  제회 세계지식포럼 궁금한 제조과정 영상으로 보세요. 이렇게 만들죠 데일리 뉴스 브리핑 매경이 전하는 세상의 지식
63,코너스톤네트웍스,2020.08.19. 오전 1:01,"코로나19 후폭풍?… 반기 `의견거절` 코스닥社, 2배 `쑥`",코로나 타격으로 의견거절 보고서 개사 달해경남바이오파마시큐브 개 이날 하한가 마감관리종목 파티게임즈 의견거절 상폐 사유 올 상반기 보고서 제출 기간이 종료되면서 코스닥 상장사 중 개사가 반기 보고서 검토 의견으로 의견거절을 받았다. 이는 전년 동기 개사와 대비해 배에 달하는 수치로 신종 코로나 바이러스 감염증으로 인한 영업환경 악화가 주된 요인으로 풀이된다. 이 중 거래정지종목이 아닌 경남바이오파마  시큐브는 일 하한가로 거래를 마쳤다.일 금융감독원 전자공시시스템에 따르면 반기보고서 제출 마감 결과 코스닥시장에서는 개사가 반기검토 의견으로 의견거절을 받았다. 이 중 거래정지되지 않은 종목인 경남바이오파마와  시큐브는 각각 하한가로 추락하며 원 원 원에 거래를 마쳤다.회계법인이 표시하는 감사의견에는 적정 한정 부적정 의견거절 가지가 있는데 의견거절은 필요한 합리적 검토증거를 확보하지 못해 재무제표 전체에 대한 의견표명이 불가능한 경우 등을 표시하는 의견이다.의견거절 결과에 대해  관계자는 반기보고서는 현재 의견표명한 회계법인에 재검토를 의뢰한 상태이며 무형자산 가치평가는 다른 회계법인에 의뢰할 예정이라며 해당 무형자산은 이번에 미국에서 임상상에 진입할 난소암 파이프라인 오레고보맙이라고 설명했다. 측에 따르면 아직 캐나다 바이오 회사 온코퀘스트로부터의 무형자산 양도는 완료되지 않았다. 회사 관계자는 이르면 오는 월 말에 완료될 예정이며 늦어도 올해 말에는 전부 양도될 것이라며 관련 특허는 회사 명의로 옮겨지고 있으며 파이프라인이나 임상 진행 상황에는 전혀 변화가 없는 상황이라고 말했다.경남바이오파마 측은 지분 .를 보유한 경남제약헬스케어의 억원 전환사채권 실물 분실이 의견거절의 주된 사유라고 설명했다. 경남제약헬스케어는 현재 거래정지 상태이며 이번 반기보고서 검토 결과 의견은 의견거절이다.경남바이오파마 관계자는 향후 재검토를 요청할 예정이나 경남제약헬스케어 측에서 우선적으로 해결해야 할 사안이라고 말했다. 또 다른 관계자는 저희도 인지한 지 얼마 되지 않았는데 후속 법적 조치를 진행할 방침이라고 들었다라며 법원에   재발행을 신청해서 재발행이 되면 의견거절 사유가 바로 해소되기 때문에 해소된 다음날 바로 관리종목 해소도 가능한 것으로 알고 있다고 말했다.시큐브 측에는 의견거절 관련 연락을 취했으나 제대로 된 답을 듣지 못했다.한편 전년 동기에 이어 올해 의견거절이 지속된 에이아이비트 포스링크 이매진아시아 에이앤티앤 등 개사는 상장폐지에 대한 이의신청기간 만료일 또는 이의신청에 대한 상장폐지 여부 결정일까지로 주권매매거래 정지기간 항목이 추가됐다. 한국거래소 코스닥시장본부는 같은 기간 의견거절이 지속된 파티게임즈에 대해서 관리종목 지정 이후 반기보고서 의견거절 감사의견을 받은 만큼 상장폐지 사유에 해당한다고 공시했다. 이 회사는 현재 거래소를 대상으로 상장폐지무효확인의 소를 제기한 상태다.회사는 상장폐지 사유에 해당되면 거래일 이내 개선계획서 등을 한국거래소에 제출해 이의신청을 할 수 있다. 한국거래소는 서류제출일부터 거래일 이내 기업심사위원회를 개최하며 상장폐지 여부 및 개선기간 부여 여부를 최종 결정하게 된다.전년 동기 적정에서 올해 의견거절을 받은 코스닥 개사 한국코퍼레이션 경남제약헬스케어 팍스넷 제낙스  시큐브 슈펙스비앤피 에스제이케이 현진소재 아이엠텍  스타모빌리티 포티스 에스디시스템 경남바이오파마 에이치엔티 지스마트글로벌 이에스에이 행남사 이노와이즈 퓨전 스킨앤스킨 코너스톤네트웍스 에이프런티어 한프 샘코 디에스티 더블유에프엠 아리온 등.유준하  시간 전 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
70,에이아이비트,2021.06.03. 오후 3:15,거래소 “에이아이비트 정리매매 보류”, 한국거래소 코스닥시장본부는 에이아이비트에 대해 상장폐지사유가 발생함에 따라 지난 일 상장폐지 및 정리매매에 대해 안내했으나 일 상장폐지결정 등 효력정지 가처분 신청이 공시를 통해 확인됨에 따라 투자자보호를 위해 법원 결정 확인시까지 예정된 상장폐지 절차가 보류된다고 일 공시했다.김윤지  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
74,에이아이비트,2021.02.15. 오후 6:11,"에이아이비트, 50억원 규모 3자배정 유상증자 결정", 에이아이비트는 운영자금 조달을 위해 억원 규모의 제자배정 유상증자를 결정했다고 일 공시했다. 보통주 만주가 신주 발행되며 신주 발행가액은 원이다. 납입기일은 오는 월 일 신주 상장 예정일은 오는 월 일이다. 배정대상자는 주식회사 테크늄이다.김소연  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
75,에이아이비트,2021.01.27. 오후 5:54,"에이아이비트, 3대 1 무상 감자 결정", 에이아이비트가 결손금 보전 및 재무구조 개선을 위해 대  무상감자를 결정했다고 일 공시했다.이에 자본금은 종전 억원에서 억원으로 주식수는 종전 억만주에서 만주로 감소한다. 감자기준일은 오는 월일로 매매거래 정지 예정기간은 오는 월 일에서 월일까지다. 신주의 상장예정일은 월일이다.유준하  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
77,에이아이비트,2020.08.23. 오후 5:47,"‘거래정지’ 에이아이비트, 경영권 분쟁까지 ‘설상가상’",의견거절로 지난 월부터 매매거래가 정지된 코스닥 상장사 에이아이비트가 현 최대주주 한승표씨와 경영컨설팅사 나우인베스트먼트 간 지분매각 이슈에 휩싸였다.일 금융투자업계에 따르면 에이아이비트는 최근 나우인베스트먼트로부터 현 최대주주 한승표씨와 체결한 최대주주 변경을 수반한 주식양수도 계약 공시를 요청받은 것으로 확인됐다.나우인베스트먼트 관계자는 한씨는 올해 초 당사와 에이아이비트의 최대주주 변경을 수반한 주식양수도 계약을 체결한 이후 주식매매 계약 성립을 주장하면서도 지분을 넘겨주지 않았다며 이후 최근까지 담보물 반환 요청에도 응하지 않고 있다고 밝혔다.나우인베스트먼트는 지난 월 일 한씨가 보유하고 있는 에이아이비트의 최대주주 지분 만주를 보호예수기간 종료일인 올해 월 일까지 총 억원에 인수하기로 합의했다.양측이 협의한 계약서에 따르면 이후 월 일까지 당사자 간 합의에 의해 계약이 해지되거나 한씨가 월 일까지 주식매도 의향을 밝힐 경우 계약은 성립된다. 계약서에 따라 양측의 주식양수 계약 체결 조건이 성립된 셈이다. 하지만 한씨는 나우인베스트먼트에게 계약상 체결된 주식을 제공하지 않았다.문제는 나우인베스트먼트가 제공한 담보물이다. 나우인베스트먼트 측은 당시 한씨에게 에이아이비트 전환사채 등을 담보물로 제공했다. 나우인베스트먼트가 주식을 받고 인수대금을 제공하지 않을 경우 담보권을 행사하도록 한 것이다.그러나 한씨가 주도 매도는 물론 나우인베스트먼트의 담보물 반환도 묵살하면서 에이아이비트가 어려움에 처했다. 에이아이비트는 전환사채 상환이 급선무지만 담보물이 묶이면서 해결 불가능한 상황이 발생한 것이다. 현재 에이아이비트의 미상환 전환사채 억원 규모 중 한씨가 담보물로 억원을 점유하고 있다.나우인베스트먼트는 에이아이비트 최대주주 주식 소유권에 대한 분쟁이 해결될 때까지 모든 의결권 행사 금지 가처분 및 법적 조치를 취하겠다고 말했다.. 최두선 기자 헉 소리나는 스토리 뉴스  아는 척하고 싶은 당신을 위한  저작권자  파이낸셜뉴스. 무단 전재재배포 금지
80,에이아이비트,2020.08.14. 오후 6:35,"에이아이비트, 반기 검토보고서 `의견거절`", 에이아이비트는 일 반기 검토보고서 의견 거절을 받았다고 공시했다.감사인인 서현회계법인은 기초 연결재무제표에 대한 감사범위 제한 반기 연결재무제표에 대한 감사범위의 제한을 의견거절 사유로 밝혔다.에이아이비트는 지난해 반기 검토보고서도 의견거절을 받은 바 있다.김재은  시간 전 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
82,에이아이비트,2020.08.26. 오후 6:39,"에이아이비트·에이앤티앤, 상장폐지 이의신청서 접수", 에이아이비트와 에이앤티앤은 한국거래소에 상장폐지와 관련 이의신청서를 접수했다고 일 밝혔다. 거래소는 내달 일까지 기업심사위원회를 열고 상장폐지 여부를 심의 의결할 예정이다.최정희  시간 빠른 미리보는 뉴스 + 네이버에서 이데일리 뉴스를 만나보세요 빡침해소 청춘뉘우스 스냅타임종합 경제정보 미디어 이데일리  무단전재  재배포 금지
85,에이아이비트,2021.06.03. 오전 8:20,[e공시 눈에띄네]코스닥-2일,장 마감 후 주요 공시에이아이비트  코스닥시장본부 에이아이비트 상장폐지 결정 월일부터 주권매매거래정지 해제에스앤씨엔진그룹  코스닥시장본부 주요 자회사 매각 보도에 대한 사실 여부 및 구체적인 내용 조회공시 요구에코마이스터 코스닥시장본부 에코마이스터 상장폐지관련 이의신청서 접수 및 개선기간 부여샘코  코스닥시장본부 샘코 상장폐지 여부를 위해 추후 기업심사위원회 심의 속개좋은사람들  법원에 회생절차 개시신청매직마이크로 코스닥시장본부 불성실공시법인 지정예고자안바이오 매홍엘앤에프 흡수합병이노와이즈  상장폐지결정 효력정지 가처분 신청코스닥시장본부 상장폐지결정 효력정지 가처분신청에 대한 법원의 결정 확인시까지 주권매매거래정지가온미디어  운영자금 조달 위해 억원 규모 전환사채 발행 결정삼보산업 코스닥시장본부 조회공시 요구에 대한 답변 이준석 전 국민의힘 최고위원 아버지의 하이드로젠파워 법정관리인 여부와 관련해 아무런 관련이 없다메디콕스  타법인 증권 취득자금 등을 위해 억원 규모 전환사채 발행 결정초록뱀컴퍼니 제자배정 유상증자 통해 억원 상당의 계열사 초록뱀미디어 신주 취득유신  종속회사 청신레저에 억원 금전대여 결정에이디칩스  주주배정 후 실권주 일반공모를 통한 억원 규모 유상증자 결정삼천당제약  먹는 인슐리 억원 투자 유치 추진 보도와 관련 중국 파트너사와 오럴 인슐린 및 오럴 에 대해 전략적 제휴를 체결 한 후 비즈니스 관련 협의를 지속적으로 진행 중지연진 기자 .. 속 시원한 풀이 년 정통사주운세토정비결 내가 몰랐던 당신들의 이야기  네이버 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
91,에이아이비트,2021.04.22. 오전 7:11,[e공시 눈에 띄네] 코스닥-21일, 장 마감 후 주요 공시 판타지오한국거래소는 최대주주 변경을 수반하는 주식 담보제공 계약 체결 지연 공시에 따라 불성실공시법인으로 지정.에이아이비트한국거래소는 공시위반제재금 미납에 따른 가중벌점을 부과한다고 밝혀.녹원씨엔아이한국거래소는 녹원씨엔아이에 대해 상장적격성 실질시사 대상으로 결정했다고 공시.다음달 일 이내에 기업심사위원회 심의 의결을 거쳐 상장폐지여부 또는 개선기간 부여 여부를 결정할 계획.이큐셀한국거래소는 이큐셀에 대해 상장적격성 실질시사 대상으로 결정했다고 공시.다음달 일 이내에 기업심사위원회 심의 의결을 거쳐 상장폐지여부 또는 개선기간 부여 여부를 결정할 계획.현진소재한국거래소는 현진소재가 감사보고서 의견거절에 따른 상장폐지사유 발생과 관련해 이의신청서를 접수했다고 밝혀.희림한국거래소는 현저한 시황변동에 대한 조회공시를 요구 공시시한은 이날 오후 시까지.에이디테크놀로지하이닉스와 메모리 컨트롤러 공급계약을 체결했다고 공시. 계약금액은 억원.에코프로비엠종업원에 대한 상여금 지급을 위해 만원 규모로 자기주식을 처분하기로 결정.이민지 기자 .. 속 시원한 풀이 년 정통사주운세토정비결 내가 몰랐던 당신들의 이야기  네이버 투자 성공의 핵심은 기업분석  바로가기경제를 보는 눈 세계를 보는 창 아시아경제 무단전재 배포금지
